epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,387.307,0.45733,0.33068,0.91133,0.99223,1,0.995,0.94143,0.30949,0.23506,0.79979,0.00033425,0.00033425,0.00033425
76,392.694,0.43334,0.32513,0.89728,0.99256,1,0.995,0.94506,0.30618,0.22436,0.80824,0.000321875,0.000321875,0.000321875
77,397.841,0.42462,0.31095,0.89278,0.97668,0.99047,0.995,0.95305,0.299,0.23327,0.80615,0.0003095,0.0003095,0.0003095
78,402.523,0.4298,0.30726,0.88887,0.95703,0.97526,0.99297,0.9472,0.29681,0.26135,0.80094,0.000297125,0.000297125,0.000297125
79,408.544,0.43949,0.33366,0.89249,0.98123,0.98932,0.995,0.93378,0.31204,0.24552,0.81373,0.00028475,0.00028475,0.00028475
80,413.256,0.43473,0.31361,0.89234,0.9751,1,0.99406,0.94665,0.29453,0.23021,0.80081,0.000272375,0.000272375,0.000272375
81,418.261,0.40929,0.31439,0.90197,0.97243,1,0.995,0.93849,0.29776,0.24584,0.79396,0.00026,0.00026,0.00026
82,423.937,0.41419,0.31219,0.88278,0.98152,1,0.995,0.93542,0.31477,0.23642,0.7966,0.000247625,0.000247625,0.000247625
83,428.559,0.43295,0.32114,0.89272,0.98998,1,0.995,0.94771,0.30627,0.23429,0.79681,0.00023525,0.00023525,0.00023525
84,434.524,0.40084,0.30289,0.88829,0.9905,0.99771,0.995,0.93777,0.29735,0.22406,0.80186,0.000222875,0.000222875,0.000222875
85,439.311,0.40821,0.30173,0.88372,0.98028,0.98333,0.99324,0.93421,0.29929,0.24814,0.80149,0.0002105,0.0002105,0.0002105
86,444.124,0.42512,0.30451,0.9,0.98573,0.98333,0.99324,0.93284,0.28779,0.24585,0.79787,0.000198125,0.000198125,0.000198125
87,450.04,0.40943,0.30199,0.88297,0.98808,0.98333,0.99406,0.93977,0.29494,0.23986,0.8011,0.00018575,0.00018575,0.00018575
88,454.774,0.41295,0.31835,0.89667,0.9858,0.98333,0.99406,0.94117,0.2989,0.23626,0.80278,0.000173375,0.000173375,0.000173375
89,460.674,0.393,0.28864,0.88827,0.98741,0.98579,0.995,0.95123,0.28937,0.21658,0.79859,0.000161,0.000161,0.000161
90,465.359,0.39794,0.28389,0.88206,0.98945,0.99261,0.995,0.94819,0.28615,0.19903,0.79683,0.000148625,0.000148625,0.000148625
91,471.996,0.39001,0.24701,0.88026,0.988,0.9774,0.99406,0.94339,0.29572,0.2384,0.80501,0.00013625,0.00013625,0.00013625
92,476.873,0.3736,0.23192,0.85409,0.98394,0.95944,0.99207,0.93781,0.29456,0.28023,0.79852,0.000123875,0.000123875,0.000123875
93,481.309,0.3743,0.23718,0.85645,0.98663,0.97571,0.99324,0.94791,0.28796,0.25283,0.79804,0.0001115,0.0001115,0.0001115
94,487.706,0.34527,0.22471,0.83848,0.98675,0.98333,0.99406,0.94939,0.29135,0.23683,0.80204,9.9125e-05,9.9125e-05,9.9125e-05
95,492.163,0.34624,0.22719,0.84939,0.98432,0.98333,0.99406,0.93313,0.30589,0.24183,0.80985,8.675e-05,8.675e-05,8.675e-05
96,496.711,0.35354,0.22597,0.84643,0.95212,0.96479,0.98938,0.92594,0.30217,0.3101,0.80932,7.4375e-05,7.4375e-05,7.4375e-05
97,502.235,0.31502,0.20924,0.83384,0.96597,0.96927,0.9925,0.94279,0.28655,0.28855,0.80296,6.2e-05,6.2e-05,6.2e-05
98,506.79,0.33339,0.21834,0.83594,0.98364,0.98333,0.99406,0.95287,0.2919,0.22826,0.80621,4.9625e-05,4.9625e-05,4.9625e-05
99,512.277,0.34282,0.21603,0.85502,0.98423,0.98333,0.99406,0.95774,0.29435,0.22903,0.80341,3.725e-05,3.725e-05,3.725e-05
100,516.919,0.32524,0.21395,0.83673,0.98379,0.98333,0.99324,0.94596,0.29047,0.22767,0.80241,2.4875e-05,2.4875e-05,2.4875e-05
